id,system,question,rag_answer,gt_reference_answer,gt_answer,prompt_tokens,completion_tokens,total_tokens,retrieve_time,llm_time,total_elapsed,hit_rate,multi_hit_rate,recall,mrr,rouge1_recall,rougeL_recall,bertscore_recall
0,hybrid_ref_topn_appendlast,การเเสดงเจตนาตัดมิให้รับมรดกจะถอนได้หรือไม่,การแสดงเจตนาตัดมิให้รับมรดกสามารถถอนเสียได้ แต่ต้องทำตามรูปแบบที่กฎหมายกำหนดไว้ในมาตรา 1608 แห่งประมวลกฎหมายแพ่งและพาณิชย์ ซึ่งหากทำโดยพินัยกรรม ต้องถอนโดยพินัยกรรมเท่านั้น แต่หากทำเป็นหนังสือมอบไว้แก่พนักงานเจ้าหน้าที่ สามารถถอนได้ตามรูปแบบที่ระบุในมาตรา 1608 (1) หรือ (2),ได้,ได้   ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1609 การแสดงเจตนาตัดมิให้รับมรดกนั้นจะถอนเสียก็ได้ ถ้าการตัดมิให้รับมรดกนั้นได้ทำโดยพินัยกรรม จะถอนเสียได้ก็แต่โดยพินัยกรรมเท่านั้น แต่ถ้าการตัดมิให้รับมรดกได้ทำเป็นหนังสือมอบไว้แก่พนักงานเจ้าหน้าที่ การถอนจะทำตามแบบใดแบบหนึ่งดังบัญญัติไว้ในมาตรา 1608 (1) หรือ (2) ก็ได้,1200,147,1347,2.2720625998917967,8.447850000113249,10.719912600005046,1,1,1.0,1.0,0.0,0.0,0.9570869207382202
1,hybrid_ref_topn_appendlast,การแปรสภาพห้างหุ้นส่วนจำกัดเป็นบริษัทจำกัด ต้องส่งมอบกิจการให้คณะกรรมการบริษัทภายในกี่วัน,ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1246/3 หุ้นส่วนผู้จัดการเดิมต้องส่งมอบกิจการ ทรัพย์สิน บัญชีเอกสารและหลักฐานต่าง ๆ ของห้างหุ้นส่วนให้แก่คณะกรรมการบริษัทภายในสิบสี่วันนับแต่วันที่ผู้เป็นหุ้นส่วนได้ให้ความยินยอมและดำเนินการในเรื่องต่าง ๆ ตามมาตรา 1246/2 เสร็จสิ้นแล้ว,ภายใน 14 วันนับแต่วันที่ผู้เป็นหุ้นส่วนได้ให้ความยินยอมและดำเนินการในเรื่องต่าง ๆ ตามมาตรา 1246/2 เสร็จสิ้นแล้ว,หุ้นส่วนผู้จัดการต้องส่งมอบกิจการ ทรัพย์สิน บัญชีเอกสารและหลักฐานต่างๆภายใน 14 วันนับแต่วันที่ผู้เป็นหุ้นส่วนได้ให้ความยินยอมและดำเนินการในเรื่องต่าง ๆ ตามมาตรา 1246/2 เสร็จสิ้นแล้ว  ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1246/3 หุ้นส่วนผู้จัดการเดิมต้องส่งมอบกิจการ ทรัพย์สิน บัญชีเอกสารและหลักฐานต่าง ๆ ของห้างหุ้นส่วนให้แก่คณะกรรมการบริษัท ภายใน 14 วันนับแต่วันที่ผู้เป็นหุ้นส่วนได้ให้ความยินยอมและดำเนินการในเรื่องต่าง ๆ ตามมาตรา 1246/2 เสร็จสิ้นแล้ว ในกรณีที่ผู้เป็นหุ้นส่วนยังไม่ได้ชำระเงินค่าหุ้นหรือชำระเงินค่าหุ้นไม่ครบร้อยละ 25 ของมูลค่าหุ้น หรือยังไม่ได้โอนกรรมสิทธิ์ทรัพย์สิน หรือทำเอกสารหลักฐานการใช้สิทธิต่าง ๆ ให้แก่คณะกรรมการ  => ให้คณะกรรมการบริษัทมีหนังสือแจ้งให้ผู้เป็นหุ้นส่วนชำระเงินค่าหุ้น โอนกรรมสิทธิ์หรือทำเอกสารหลักฐานการใช้สิทธิต่าง ๆ ให้แก่คณะกรรมการภายใน 30 วันนับแต่วันที่ได้รับหนังสือแจ้ง,3833,153,3986,3.459579600021243,5.9347091999370605,9.394288799958304,1,1,1.0,0.5,0.6666666666666666,0.6666666666666666,0.9096817374229431
2,hybrid_ref_topn_appendlast,ซื้อหวยใต้ดิน แล้วเขาไม่จ่าย ฟ้องได้ไหม,ไม่สามารถฟ้องร้องเพื่อขอค่าเสียหายจากการซื้อหวยใต้ดินได้ เนื่องจากธุรกรรมดังกล่าวเป็นการพนันที่ผิดกฎหมายตามประมวลกฎหมายอาญา มาตรา 283 และมาตรา 284 ซึ่งไม่ได้รับการคุ้มครองตามกฎหมายแพ่งและพาณิชย์,ไม่ได้ เพราะมีแค่เพียง สลากกินแบ่งของรัฐบาลเท่านั้น ที่มีผลบังคับได้ตามกฎหมาย นอกจากนั้นจะผิดกฎหมาย เป็นการพนัน ฟ้องร้องบังคับให้ใช้เงินไม่ได้ ตามมาตรา มาตรา 854 ประมวลกฎหมายแพ่งและพาณิชย์,ไม่ได้ เพราะมีแค่เพียง สลากกินแบ่งของรัฐบาลเท่านั้น ที่มีผลบังคับได้ตามกฎหมาย นอกจากนั้นจะผิดกฎหมาย เป็นการพนัน ฟ้องร้องบังคับให้ใช้เงินไม่ได้ ตามมาตรา มาตรา 854 ประมวลกฎหมายแพ่งและพาณิชย์,1399,101,1500,2.5440398000646383,34.26476699998602,36.80880680005066,0,0,0.0,0.0,0.0,0.0,0.8370859622955322
3,hybrid_ref_topn_appendlast,พ่อแม่โดยกำเนิดกลับมามีอำนาจปกครองเมื่อไร,พ่อแม่โดยกำเนิดกลับมีอำนาจปกครองเมื่อบุตรบุญธรรมยังไม่บรรลุนิติภาวะ และเกิดกรณีผู้รับบุตรบุญธรรมตาย หรือมีการเลิกการรับบุตรบุญธรรม นับแต่เวลาที่ผู้รับบุตรบุญธรรมตาย หรือนับแต่เวลาที่จดทะเบียนเลิกการรับบุตรบุญธรรมตามมาตรา 1598/31 หรือนับแต่เวลาที่ศาลมีคำพิพากษาถึงที่สุดให้เลิกการรับบุตรบุญธรรม ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1598/37.,นับแต่เวลาที่ผู้รับบุตรบุญธรรมตาย หรือนับแต่เวลาที่จดทะเบียนเลิกการรับบุตรบุญธรรมหรือนับแต่เวลาที่ศาลมีคำพิพากษาถึงที่สุดให้เลิกการรับบุตรบุญธรรม เว้นแต่ศาลเห็นสมควรสั่งเป็นอย่างอื่น,"นับแต่เวลาที่ผู้รับบุตรบุญธรรมตาย หรือนับแต่เวลาที่จดทะเบียนเลิกการรับบุตรบุญธรรมหรือนับแต่เวลาที่ศาลมีคำพิพากษาถึงที่สุดให้เลิกการรับบุตรบุญธรรม เว้นแต่ศาลเห็นสมควรสั่งเป็นอย่างอื่น

คำอธิบายขยายความเพิ่มเติมตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1598/37 เมื่อผู้รับบุตรบุญธรรมตายหรือมีการเลิกรับบุตรบุญธรรม ถ้าบุตรบุญธรรมยังไม่บรรลุนิติภาวะ ให้บิดามารดาโดยกำเนิดกลับมีอำนาจปกครองนับแต่เวลาที่ผู้รับบุตรบุญธรรมตาย หรือนับแต่เวลาที่จดทะเบียนเลิกการรับบุตรบุญธรรมตามมาตรา 1598/31 หรือนับแต่เวลาที่ศาลมีคำพิพากษาถึงที่สุดให้เลิกการรับบุตรบุญธรรม เว้นแต่ศาลเห็นสมควรสั่งเป็นประการอื่น",2054,190,2244,3.308938799891621,24.638346099993214,27.947284899884835,1,1,1.0,1.0,0.0,0.0,0.9456823468208313
4,hybrid_ref_topn_appendlast,ระยะเวลาในการฟ้องคดีมรดกมีหลักเกณฑ์อย่างไร,ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1754 ระยะเวลาในการฟ้องคดีมรดก คือ ต้องฟ้องภายในหนึ่งปีนับแต่เมื่อเจ้ามรดกตาย หรือนับแต่เมื่อทายาทโดยธรรมได้รู้หรือควรได้รู้ถึงความตายของเจ้ามรดก ส่วนคดีฟ้องเรียกตามพินัยกรรม ต้องฟ้องภายในหนึ่งปีนับแต่เมื่อผู้รับพินัยกรรมได้รู้หรือควรได้รู้ถึงสิทธิของตน อย่างไรก็ตาม ไม่ว่ากรณีใด ห้ามมิให้ฟ้องเมื่อพ้นกำหนดสิบปีนับแต่เมื่อเจ้ามรดกตาย,ห้ามมิให้ฟ้องคดีมรดกเมื่อพ้นกำหนดหนึ่งปี นับแต่เมื่อเจ้ามรดกตาย หรือนับแต่เมื่อทายาทโดยธรรมได้รู้ หรือควรได้รู้ถึงความตายของเจ้ามรดก,ห้ามมิให้ฟ้องคดีมรดกเมื่อพ้นกำหนดหนึ่งปี นับแต่เมื่อเจ้ามรดกตาย หรือนับแต่เมื่อทายาทโดยธรรมได้รู้ หรือควรได้รู้ถึงความตายของเจ้ามรดก ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1754 ห้ามมิให้ฟ้องคดีมรดกเมื่อพ้นกำหนดหนึ่งปี นับแต่เมื่อเจ้ามรดกตาย หรือนับแต่เมื่อทายาทโดยธรรมได้รู้ หรือควรได้รู้ถึงความตายของเจ้ามรดก ส่วนคดีฟ้องเรียกตามข้อกำหนดพินัยกรรม มิให้ฟ้องเมื่อพ้นกำหนดหนึ่งปีนับแต่เมื่อผู้รับพินัยกรรมได้รู้หรือควรได้รู้ถึงสิทธิซึ่งตนมีอยู่ตามพินัยกรรม,2616,209,2825,2.891885999822989,4.121466300217435,7.013352300040424,1,1,1.0,1.0,0.0,0.0,0.9499926567077637
5,hybrid_ref_topn_appendlast,หากมีเหตุสุดวิสัยมาขัดขวางไม่ให้เจ้าหนี้ฟ้องคดีให้ลูกหนี้ชำระหนี้ก่อนที่อายุความจะครบกำหนด ให้อายุความนั้นมีผลเป็นอย่างไร,ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 193/19 หากมีเหตุสุดวิสัยมาขัดขวางมิให้เจ้าหนี้กระทำการตามมาตรา 193/14 ให้อายุความนั้นยังไม่ครบกำหนดจนกว่าจะพ้นสามสิบวันนับแต่วันที่เหตุสุดวิสัยนั้นได้สิ้นสุดลง,ให้ถือว่าอายุความยังไม่ครบกำหนดจนกว่าจะพ้น 30 วัน นับแต่วันที่เหตุสุดวิสัยได้สิ้นสุดลง,ให้ถือว่าอายุความยังไม่ครบกำหนดจนกว่าจะพ้น 30 วัน นับแต่วันที่เหตุสุดวิสัยได้สิ้นสุดลง เนื่องจากการที่เจ้าหนี้ฟ้องคดีนั้นจะทำให้อายุความหยุดนับต่อไป   ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 193/19 ก่อนอายุความจะครบกำหนด หากมีเหตุสุดวิสัยมาขัดขวางไม่ให้เจ้าหนี้กระทำการที่จะทำให้อายุความสะดุดหยุดลง ให้ถือว่าอายุความนั้นยังไม่ครบกำหนดจนกว่าจะพ้น 30 วัน นับแต่วันที่เหตุสุดวิสัยนั้นได้สิ้นสุดไป,1539,117,1656,3.017571199918166,31.085836599813774,34.10340779973194,1,1,1.0,1.0,0.0,0.0,0.9226323962211609
6,hybrid_ref_topn_appendlast,ถูกตั้งให้เป็นตัวแทนแต่ผู้ตั้งตัวแทนไม่อยู่และสัญญาหมดลงแต่ต้องจัดการทรัพย์สินให้อยู่ในสภาพดีจะสามารถทำได้ไหม,ได้ ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 49 บัญญัติว่า ในกรณีที่ผู้ไม่อยู่ได้ตั้งตัวแทนผู้รับมอบอำนาจทั่วไปไว้ และสัญญาตัวแทนระงับสิ้นไป หรือปรากฏว่าตัวแทนผู้รับมอบอำนาจทั่วไปได้จัดการทรัพย์สินนั้นในลักษณะที่อาจเสียหายแก่บุคคลดังกล่าว ให้นำมาตรา 48 มาใช้บังคับโดยอนุโลม ซึ่งมาตรา 48 กำหนดให้ศาลสามารถตั้งผู้จัดการทรัพย์สินได้ เพื่อจัดการทรัพย์สินของผู้ไม่อยู่ให้อยู่ในสภาพดีได้,ศาลจะสั่งให้ทำการอย่างใดอย่างหนึ่งไปพลางเพื่อจัดการทรัพย์สินผู้ไม่อยู่นั้นก็ได้,"ในกรณีที่ผู้ไม่อยู่ได้ตั้งตัวแทนผู้รับมอบอำนาจทั่วไปไว้ และสัญญาตัวแทนระงับสิ้นไป หรือปรากฏว่าตัวแทนผู้รับมอบอำนาจทั่วไปได้จัดการทรัพย์สินนั้นในลักษณะที่อาจเสียหายแก่บุคคลดังกล่าว ศาลจะสั่งให้ทำการอย่างใดอย่างหนึ่งไปพลางเพื่อจัดการทรัพย์สินผู้ไม่อยู่นั้นก็ได้   

ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 49 ในกรณีที่ผู้ไม่อยู่ได้ตั้งตัวแทนผู้รับมอบอำนาจทั่วไปไว้ และสัญญาตัวแทนระงับสิ้นไป หรือปรากฏว่าตัวแทนผู้รับมอบอำนาจทั่วไปได้จัดการทรัพย์สินนั้นในลักษณะที่อาจเสียหายแก่บุคคลดังกล่าว ให้นำมาตรา 48 มาใช้บังคับโดยอนุโลม",1721,217,1938,2.257167899981141,27.23959429981187,29.49676219979301,1,1,1.0,1.0,0.0,0.0,0.9549044966697693
7,hybrid_ref_topn_appendlast,การที่นายทะเบียนขีดชื่อบริษัทจำกัด ออกจากทะเบียน จะมีผลเป็นอย่างไร,การที่นายทะเบียนขีดชื่อบริษัทจำกัดออกจากทะเบียน ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1273/1 และมาตรา 1273/2 ทำให้บริษัทนั้นสิ้นสภาพเป็นนิติบุคคลต่อไป และไม่สามารถใช้ชื่อหรือดำเนินกิจการในฐานะบริษัทจำกัดได้อีก โดยหากมีการใช้ชื่อบริษัทที่ถูกขีดชื่อออกแล้วในการประกอบกิจการ จะมีความผิดตามพระราชบัญญัติกำหนดความผิดเกี่ยวกับห้างหุ้นส่วนจดทะเบียน ห้างหุ้นส่วนจำกัด บริษัทจำกัด สมาคม และมูลนิธิ พ.ศ. 2499 มาตรา 38/1 ต้องชำระค่าปรับไม่เกินห้าหมื่นบาท และปรับเพิ่มวันละไม่เกินหนึ่งพันบาท จนกว่าจะเลิกใช้ชื่อ.,บริษัทจำกัดนั้น สิ้นสภาพนิติบุคลตั้งแต่เมื่อนายทะเบียนขีดชื่อบริษัทดังกล่าวออกจากทะเบียน,บริษัทจำกัดนั้น สิ้นสภาพนิติบุคลตั้งแต่เมื่อนายทะเบียนขีดชื่อบริษัทดังกล่าวออกจากทะเบียน   มาตรา 1273/3 แห่งประมวลกฎหมายแพ่งและพาณิชย์ เมื่อสิ้นกำหนดเวลาตามที่แจ้งในหนังสือบอกกล่าวตามมาตรา 1273/1 หรือมาตรา 1273/2 แล้ว และห้างหุ้นส่วนหรือบริษัท หรือผู้ชำระบัญชีมิได้แสดงเหตุให้เห็นเป็นอย่างอื่น นายทะเบียนจะขีดชื่อห้างหุ้นส่วนหรือบริษัทนั้นออกเสียจากทะเบียนก็ได้ ในการนี้ ให้ห้างหุ้นส่วนหรือบริษัทนั้นสิ้นสภาพนิติบุคคลตั้งแต่เมื่อนายทะเบียนขีดชื่อห้างหุ้นส่วนหรือบริษัทออกเสียจากทะเบียน แต่ความรับผิดของหุ้นส่วนผู้จัดการ ผู้เป็นหุ้นส่วน กรรมการ ผู้จัดการ และผู้ถือหุ้นมีอยู่เท่าไรก็ให้คงมีอยู่อย่างนั้นและพึงเรียกบังคับได้เสมือนห้างหุ้นส่วนหรือบริษัทนั้นยังมิได้สิ้นสภาพนิติบุคคล,2150,282,2432,3.6270634001120925,15.922057799994946,19.549121200107038,1,0,0.6666666666666666,0.0,0.0,0.0,0.8723596930503845
8,hybrid_ref_topn_appendlast,ฟ้องหย่ากรณีโดนสามีทำร้ายร่างกายต้องใช้สิทธิภายในเมื่อไหร่,ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1516 (ข) บัญญัติว่า สามีหรือภริยาทำร้าย หรือทรมานร่างกายหรือจิตใจ หรือหมิ่นประมาทหรือเหยียดหยามอีกฝ่ายหนึ่งหรือบุพการีของอีกฝ่ายหนึ่ง ทั้งนี้ ถ้าเป็นการร้ายแรง อีกฝ่ายหนึ่งนั้นฟ้องหย่าได้ ซึ่งหมายความว่า ผู้ถูกทำร้ายสามารถฟ้องหย่าได้ทันทีที่เกิดเหตุการณ์ร้ายแรงดังกล่าว โดยไม่จำเป็นต้องรอระยะเวลาใด ๆ ทั้งสิ้น,ต้องใช้สิทธิภายในกำหนด 1 ปีนับแต่วันผู้คนอ้างรู้ หรือควรรู้ความจริงซึ่งตนอาจยกขึ้นอ้าง,กรณีนี้เป็นการใช้สิทธิฟ้องตามเหตุในมาตรา 1516(3) โดยต้องใช้สิทธิภายในกำหนด 1 ปีนับแต่วันผู้คนอ้างรู้ หรือควรรู้ความจริงซึ่งตนอาจยกขึ้นอ้าง คำอธิบายขยายความ : ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1529 สิทธิฟ้องร้องโดยอาศัยเหตุในมาตรา 1516 (1) (2) (3) หรือ (6) หรือมาตรา 1523 ย่อมระงับไปเมื่อพ้นกำหนด 1 ปีนับแต่วันผู้กล่าวอ้างรู้หรือควรรู้ความจริงซึ่งตนอาจยกขึ้นกล่าวอ้าง ทั้งนี้ หากยกเหตุขึ้นฟ้องหย่าไม่ได้แล้ว อาจจะนำสืบสนับสนุนคดีฟ้องหย่าซึ่งอาศัยเหตุอย่างอื่น,2437,204,2641,6.189811900025234,12.224419799866155,18.41423169989139,1,0,0.3333333333333333,0.0,0.0,0.0,0.8016934394836426
9,hybrid_ref_topn_appendlast,ผู้ค้ำประกันตกลงรับผิดในฐานะลูกหนี้ร่วมได้หรือไม่,ผู้ค้ำประกันตกลงรับผิดในฐานะลูกหนี้ร่วมได้ เว้นแต่ผู้ค้ำประกันนั้นเป็นบุคคลธรรมดา ซึ่งข้อตกลงดังกล่าวจะเป็นโมฆะตามมาตรา 681/1 แห่งประมวลกฎหมายแพ่งและพาณิชย์ แต่หากผู้ค้ำประกันเป็นนิติบุคคลและยินยอมเข้าผูกพันตนเพื่อรับผิดอย่างลูกหนี้ร่วม ถือว่าข้อตกลงนั้นชอบด้วยกฎหมาย และไม่เข้าข่ายความเป็นโมฆะตามวรรคสองของมาตรา 681/1.,ผู้ค้ำประกันไม่สามารถรับผิดอย่างลูกหนี้ร่วมได้ หากกำหนดในข้อตกลงไว้ ให้ตกเป็นโมฆะ เว้นแต่เป็นผู้ค้ำประกันที่เป็นนิติบุคคล,ผู้ค้ำประกันไม่สามารถรับผิดอย่างลูกหนี้ร่วมได้ หากกำหนดในข้อตกลงไว้ ให้ตกเป็นโมฆะ เว้นแต่เป็นผู้ค้ำประกันที่เป็นนิติบุคคล  ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 681/1 ข้อตกลงใดที่กำหนดให้ผู้ค้ำประกันต้องรับผิดอย่างเดียวกับลูกหนี้ร่วมหรือในฐานะเป็นลูกหนี้ร่วม ข้อตกลงนั้นเป็นโมฆะ ยกเว้นในกรณีผู้ค้ำประกันซึ่งเป็นนิติบุคคลและยินยอมเข้าผูกพันตนเพื่อรับผิดอย่างลูกหนี้ร่วมหรือในฐานะเป็นลูกหนี้ร่วม แต่ผู้ค้ำประกันซึ่งเป็นนิติบุคคลนั้นจะไม่มีสิทธิตามมาตรา 688 มาตรา 689 และมาตรา 690,1801,182,1983,2.2879887998569757,3.3693627000320703,5.657351499889046,1,1,1.0,1.0,0.0,0.0,0.9457381963729858
