id,system,question,rag_answer,gt_reference_answer,gt_answer,prompt_tokens,completion_tokens,total_tokens,retrieve_time,llm_time,total_elapsed,hit_rate,multi_hit_rate,recall,mrr,rouge1_recall,rougeL_recall,bertscore_recall
0,sparse_rag,การเเสดงเจตนาตัดมิให้รับมรดกจะถอนได้หรือไม่,การแสดงเจตนาตัดมิให้รับมรดกสามารถถอนได้ ตามมาตรา 1609 แห่งประมวลกฎหมายแพ่งและพาณิชย์ ซึ่งบัญญัติว่า ถ้าการตัดมิให้รับมรดกทำโดยพินัยกรรม ให้ถอนเสียได้ก็แต่โดยพินัยกรรมเท่านั้น แต่ถ้าทำเป็นหนังสือมอบไว้แก่พนักงานเจ้าหน้าที่ ให้ถอนได้ตามแบบที่กำหนดไว้ในมาตรา 1608 (1) หรือ (2),ได้,ได้   ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1609 การแสดงเจตนาตัดมิให้รับมรดกนั้นจะถอนเสียก็ได้ ถ้าการตัดมิให้รับมรดกนั้นได้ทำโดยพินัยกรรม จะถอนเสียได้ก็แต่โดยพินัยกรรมเท่านั้น แต่ถ้าการตัดมิให้รับมรดกได้ทำเป็นหนังสือมอบไว้แก่พนักงานเจ้าหน้าที่ การถอนจะทำตามแบบใดแบบหนึ่งดังบัญญัติไว้ในมาตรา 1608 (1) หรือ (2) ก็ได้,1662,160,1822,0.20581709999532904,3.2085549000039464,3.4143719999992754,1,1,1.0,1.0,0.0,0.0,0.9728813171386719
1,sparse_rag,การแปรสภาพห้างหุ้นส่วนจำกัดเป็นบริษัทจำกัด ต้องส่งมอบกิจการให้คณะกรรมการบริษัทภายในกี่วัน,การแปรสภาพห้างหุ้นส่วนจำกัดเป็นบริษัทจำกัด ต้องดำเนินการตามมาตรา 1246/1 วรรคสอง ซึ่งกำหนดให้แจ้งความยินยอมของผู้เป็นหุ้นส่วนต่อนายทะเบียนภายในสิบสี่วันนับแต่วันที่ผู้เป็นหุ้นส่วนทุกคนให้ความยินยอม และต้องดำเนินการตามมาตรา 1246/3 ครบถ้วนก่อนที่คณะกรรมการบริษัทจะขอจดทะเบียนต่อนายทะเบียนภายในสิบสี่วันนับแต่วันที่ดำเนินการครบถ้วนแล้ว ดังนั้น การส่งมอบกิจการให้คณะกรรมการบริษัทจึงต้องดำเนินการให้เสร็จสิ้นก่อนวันที่ยื่นขอจดทะเบียนภายในสิบสี่วันนับแต่วันที่ดำเนินการตามมาตรา 1246/3 ครบถ้วนแล้ว,ภายใน 14 วันนับแต่วันที่ผู้เป็นหุ้นส่วนได้ให้ความยินยอมและดำเนินการในเรื่องต่าง ๆ ตามมาตรา 1246/2 เสร็จสิ้นแล้ว,หุ้นส่วนผู้จัดการต้องส่งมอบกิจการ ทรัพย์สิน บัญชีเอกสารและหลักฐานต่างๆภายใน 14 วันนับแต่วันที่ผู้เป็นหุ้นส่วนได้ให้ความยินยอมและดำเนินการในเรื่องต่าง ๆ ตามมาตรา 1246/2 เสร็จสิ้นแล้ว  ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1246/3 หุ้นส่วนผู้จัดการเดิมต้องส่งมอบกิจการ ทรัพย์สิน บัญชีเอกสารและหลักฐานต่าง ๆ ของห้างหุ้นส่วนให้แก่คณะกรรมการบริษัท ภายใน 14 วันนับแต่วันที่ผู้เป็นหุ้นส่วนได้ให้ความยินยอมและดำเนินการในเรื่องต่าง ๆ ตามมาตรา 1246/2 เสร็จสิ้นแล้ว ในกรณีที่ผู้เป็นหุ้นส่วนยังไม่ได้ชำระเงินค่าหุ้นหรือชำระเงินค่าหุ้นไม่ครบร้อยละ 25 ของมูลค่าหุ้น หรือยังไม่ได้โอนกรรมสิทธิ์ทรัพย์สิน หรือทำเอกสารหลักฐานการใช้สิทธิต่าง ๆ ให้แก่คณะกรรมการ  => ให้คณะกรรมการบริษัทมีหนังสือแจ้งให้ผู้เป็นหุ้นส่วนชำระเงินค่าหุ้น โอนกรรมสิทธิ์หรือทำเอกสารหลักฐานการใช้สิทธิต่าง ๆ ให้แก่คณะกรรมการภายใน 30 วันนับแต่วันที่ได้รับหนังสือแจ้ง,1563,268,1831,0.353333199993358,5.257784500005073,5.611117699998431,1,1,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8304331302642822
2,sparse_rag,ซื้อหวยใต้ดิน แล้วเขาไม่จ่าย ฟ้องได้ไหม,ไม่สามารถฟ้องร้องได้ เนื่องจากการซื้อขายสลากกินแบ่งรัฐบาลหรือหวยใต้ดินถือเป็นสัญญาที่ผิดกฎหมายตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1448 วรรคสอง ที่ระบุว่า “สัญญาที่ขัดต่อความสงบเรียบร้อยหรือศีลธรรมอันดีงาม ไม่เป็นผลบังคับ” ซึ่งการซื้อหวยใต้ดินจัดอยู่ในประเภทนี้ จึงไม่สามารถนำมาฟ้องร้องเพื่อขอให้ชำระหนี้หรือเรียกร้องสิทธิได้,ไม่ได้ เพราะมีแค่เพียง สลากกินแบ่งของรัฐบาลเท่านั้น ที่มีผลบังคับได้ตามกฎหมาย นอกจากนั้นจะผิดกฎหมาย เป็นการพนัน ฟ้องร้องบังคับให้ใช้เงินไม่ได้ ตามมาตรา มาตรา 854 ประมวลกฎหมายแพ่งและพาณิชย์,ไม่ได้ เพราะมีแค่เพียง สลากกินแบ่งของรัฐบาลเท่านั้น ที่มีผลบังคับได้ตามกฎหมาย นอกจากนั้นจะผิดกฎหมาย เป็นการพนัน ฟ้องร้องบังคับให้ใช้เงินไม่ได้ ตามมาตรา มาตรา 854 ประมวลกฎหมายแพ่งและพาณิชย์,1001,174,1175,0.3275028000061866,3.5481713000044692,3.875674100010656,0,0,0.0,0.0,0.0,0.0,0.8747328519821167
3,sparse_rag,พ่อแม่โดยกำเนิดกลับมามีอำนาจปกครองเมื่อไร,พ่อแม่โดยกำเนิดกลับมีอำนาจปกครองเมื่อบุตรบุญธรรมยังไม่บรรลุนิติภาวะ และเกิดกรณีผู้รับบุตรบุญธรรมตาย หรือมีการเลิกรับบุตรบุญธรรม ตามมาตรา 1598/37 แห่งประมวลกฎหมายแพ่งและพาณิชย์,นับแต่เวลาที่ผู้รับบุตรบุญธรรมตาย หรือนับแต่เวลาที่จดทะเบียนเลิกการรับบุตรบุญธรรมหรือนับแต่เวลาที่ศาลมีคำพิพากษาถึงที่สุดให้เลิกการรับบุตรบุญธรรม เว้นแต่ศาลเห็นสมควรสั่งเป็นอย่างอื่น,"นับแต่เวลาที่ผู้รับบุตรบุญธรรมตาย หรือนับแต่เวลาที่จดทะเบียนเลิกการรับบุตรบุญธรรมหรือนับแต่เวลาที่ศาลมีคำพิพากษาถึงที่สุดให้เลิกการรับบุตรบุญธรรม เว้นแต่ศาลเห็นสมควรสั่งเป็นอย่างอื่น

คำอธิบายขยายความเพิ่มเติมตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1598/37 เมื่อผู้รับบุตรบุญธรรมตายหรือมีการเลิกรับบุตรบุญธรรม ถ้าบุตรบุญธรรมยังไม่บรรลุนิติภาวะ ให้บิดามารดาโดยกำเนิดกลับมีอำนาจปกครองนับแต่เวลาที่ผู้รับบุตรบุญธรรมตาย หรือนับแต่เวลาที่จดทะเบียนเลิกการรับบุตรบุญธรรมตามมาตรา 1598/31 หรือนับแต่เวลาที่ศาลมีคำพิพากษาถึงที่สุดให้เลิกการรับบุตรบุญธรรม เว้นแต่ศาลเห็นสมควรสั่งเป็นประการอื่น",1593,96,1689,0.3695943999919109,1.7397856000025058,2.1093799999944167,1,1,1.0,1.0,0.0,0.0,0.8801307678222656
4,sparse_rag,ระยะเวลาในการฟ้องคดีมรดกมีหลักเกณฑ์อย่างไร,ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1754 กำหนดระยะเวลาในการฟ้องคดีมรดกไว้ว่า ห้ามมิให้ฟ้องคดีมรดกเมื่อพ้นกำหนดหนึ่งปีนับแต่เมื่อเจ้ามรดกตาย หรือนับแต่เมื่อทายาทโดยธรรมได้รู้ หรือควรได้รู้ถึงความตายของเจ้ามรดก อย่างไรก็ตาม สิทธิเรียกร้องดังกล่าวมิให้ฟ้องร้องเมื่อพ้นกำหนดสิบปีนับแต่เมื่อเจ้ามรดกตาย,ห้ามมิให้ฟ้องคดีมรดกเมื่อพ้นกำหนดหนึ่งปี นับแต่เมื่อเจ้ามรดกตาย หรือนับแต่เมื่อทายาทโดยธรรมได้รู้ หรือควรได้รู้ถึงความตายของเจ้ามรดก,ห้ามมิให้ฟ้องคดีมรดกเมื่อพ้นกำหนดหนึ่งปี นับแต่เมื่อเจ้ามรดกตาย หรือนับแต่เมื่อทายาทโดยธรรมได้รู้ หรือควรได้รู้ถึงความตายของเจ้ามรดก ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1754 ห้ามมิให้ฟ้องคดีมรดกเมื่อพ้นกำหนดหนึ่งปี นับแต่เมื่อเจ้ามรดกตาย หรือนับแต่เมื่อทายาทโดยธรรมได้รู้ หรือควรได้รู้ถึงความตายของเจ้ามรดก ส่วนคดีฟ้องเรียกตามข้อกำหนดพินัยกรรม มิให้ฟ้องเมื่อพ้นกำหนดหนึ่งปีนับแต่เมื่อผู้รับพินัยกรรมได้รู้หรือควรได้รู้ถึงสิทธิซึ่งตนมีอยู่ตามพินัยกรรม,1713,170,1883,0.2448086000076728,3.6500184000033187,3.8948270000109915,1,1,1.0,0.3333333333333333,0.0,0.0,0.9359849691390991
5,sparse_rag,หากมีเหตุสุดวิสัยมาขัดขวางไม่ให้เจ้าหนี้ฟ้องคดีให้ลูกหนี้ชำระหนี้ก่อนที่อายุความจะครบกำหนด ให้อายุความนั้นมีผลเป็นอย่างไร,ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 193/19 หากมีเหตุสุดวิสัยมาขัดขวางไม่ให้เจ้าหนี้กระทำตามมาตรา 193/14 ให้อายุความนั้นยังไม่ครบกำหนดจนกว่าจะพ้นสามสิบวันนับแต่วันที่เหตุสุดวิสัยสิ้นสุดลง,ให้ถือว่าอายุความยังไม่ครบกำหนดจนกว่าจะพ้น 30 วัน นับแต่วันที่เหตุสุดวิสัยได้สิ้นสุดลง,ให้ถือว่าอายุความยังไม่ครบกำหนดจนกว่าจะพ้น 30 วัน นับแต่วันที่เหตุสุดวิสัยได้สิ้นสุดลง เนื่องจากการที่เจ้าหนี้ฟ้องคดีนั้นจะทำให้อายุความหยุดนับต่อไป   ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 193/19 ก่อนอายุความจะครบกำหนด หากมีเหตุสุดวิสัยมาขัดขวางไม่ให้เจ้าหนี้กระทำการที่จะทำให้อายุความสะดุดหยุดลง ให้ถือว่าอายุความนั้นยังไม่ครบกำหนดจนกว่าจะพ้น 30 วัน นับแต่วันที่เหตุสุดวิสัยนั้นได้สิ้นสุดไป,1339,111,1450,0.432738799994695,2.5400838000059593,2.9728226000006543,1,1,1.0,1.0,0.0,0.0,0.9227749109268188
6,sparse_rag,ถูกตั้งให้เป็นตัวแทนแต่ผู้ตั้งตัวแทนไม่อยู่และสัญญาหมดลงแต่ต้องจัดการทรัพย์สินให้อยู่ในสภาพดีจะสามารถทำได้ไหม,ได้ ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 49 บัญญัติว่า ในกรณีที่ผู้ไม่อยู่ตั้งตัวแทนผู้รับมอบอำนาจทั่วไปไว้ และสัญญาตัวแทนระงับสิ้นไป หรือปรากฏว่าตัวแทนผู้รับมอบอำนาจทั่วไปได้จัดการทรัพย์สินนั้นในลักษณะที่อาจเสียหายแก่บุคคลดังกล่าว ให้นำมาตรา 48 มาใช้บังคับโดยอนุโลม ซึ่งหมายความว่า ตัวแทนยังคงมีอำนาจจัดการทรัพย์สินเพื่อรักษาสภาพทรัพย์สินให้คงอยู่ในสภาพดีได้ แม้สัญญาจะหมดลงแล้วก็ตาม เพื่อป้องกันไม่ให้ทรัพย์สินเสียหาย,ศาลจะสั่งให้ทำการอย่างใดอย่างหนึ่งไปพลางเพื่อจัดการทรัพย์สินผู้ไม่อยู่นั้นก็ได้,"ในกรณีที่ผู้ไม่อยู่ได้ตั้งตัวแทนผู้รับมอบอำนาจทั่วไปไว้ และสัญญาตัวแทนระงับสิ้นไป หรือปรากฏว่าตัวแทนผู้รับมอบอำนาจทั่วไปได้จัดการทรัพย์สินนั้นในลักษณะที่อาจเสียหายแก่บุคคลดังกล่าว ศาลจะสั่งให้ทำการอย่างใดอย่างหนึ่งไปพลางเพื่อจัดการทรัพย์สินผู้ไม่อยู่นั้นก็ได้   

ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 49 ในกรณีที่ผู้ไม่อยู่ได้ตั้งตัวแทนผู้รับมอบอำนาจทั่วไปไว้ และสัญญาตัวแทนระงับสิ้นไป หรือปรากฏว่าตัวแทนผู้รับมอบอำนาจทั่วไปได้จัดการทรัพย์สินนั้นในลักษณะที่อาจเสียหายแก่บุคคลดังกล่าว ให้นำมาตรา 48 มาใช้บังคับโดยอนุโลม",1332,241,1573,0.32860370000707917,4.6438903999951435,4.972494100002223,1,1,1.0,1.0,0.0,0.0,0.9536080360412598
7,sparse_rag,การที่นายทะเบียนขีดชื่อบริษัทจำกัด ออกจากทะเบียน จะมีผลเป็นอย่างไร,เมื่อนายทะเบียนขีดชื่อบริษัทจำกัดออกจากทะเบียน บริษัทนั้นจะสิ้นสุดความเป็นนิติบุคคลตามกฎหมาย และไม่สามารถประกอบกิจการต่อไปได้อีก โดยหากมีผู้ใดใช้ชื่อบริษัทนั้นหลังจากถูกขีดชื่อออกแล้ว เพื่อให้ประชาชนเข้าใจผิดว่ายังคงมีอยู่ ถือว่ามีความผิดตามมาตรา 38/1 แห่งพระราชบัญญัติกำหนดความผิดเกี่ยวกับห้างหุ้นส่วนจดทะเบียน ห้างหุ้นส่วนจำกัด บริษัทจำกัด สมาคม และมูลนิธิ พ.ศ. 2499 ต้องระวางโทษปรับไม่เกินห้าหมื่นบาท และปรับเพิ่มวันละไม่เกินหนึ่งพันบาท จนกว่าจะเลิกใช้ชื่อ.,บริษัทจำกัดนั้น สิ้นสภาพนิติบุคลตั้งแต่เมื่อนายทะเบียนขีดชื่อบริษัทดังกล่าวออกจากทะเบียน,บริษัทจำกัดนั้น สิ้นสภาพนิติบุคลตั้งแต่เมื่อนายทะเบียนขีดชื่อบริษัทดังกล่าวออกจากทะเบียน   มาตรา 1273/3 แห่งประมวลกฎหมายแพ่งและพาณิชย์ เมื่อสิ้นกำหนดเวลาตามที่แจ้งในหนังสือบอกกล่าวตามมาตรา 1273/1 หรือมาตรา 1273/2 แล้ว และห้างหุ้นส่วนหรือบริษัท หรือผู้ชำระบัญชีมิได้แสดงเหตุให้เห็นเป็นอย่างอื่น นายทะเบียนจะขีดชื่อห้างหุ้นส่วนหรือบริษัทนั้นออกเสียจากทะเบียนก็ได้ ในการนี้ ให้ห้างหุ้นส่วนหรือบริษัทนั้นสิ้นสภาพนิติบุคคลตั้งแต่เมื่อนายทะเบียนขีดชื่อห้างหุ้นส่วนหรือบริษัทออกเสียจากทะเบียน แต่ความรับผิดของหุ้นส่วนผู้จัดการ ผู้เป็นหุ้นส่วน กรรมการ ผู้จัดการ และผู้ถือหุ้นมีอยู่เท่าไรก็ให้คงมีอยู่อย่างนั้นและพึงเรียกบังคับได้เสมือนห้างหุ้นส่วนหรือบริษัทนั้นยังมิได้สิ้นสภาพนิติบุคคล,2122,262,2384,0.38615950000530574,5.765533500001766,6.1516930000070715,1,0,0.6666666666666666,0.0,0.0,0.0,0.8619130849838257
8,sparse_rag,ฟ้องหย่ากรณีโดนสามีทำร้ายร่างกายต้องใช้สิทธิภายในเมื่อไหร่,ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1516 (วรรคสาม) สามีทำร้ายร่างกายอีกฝ่ายหนึ่งอย่างร้ายแรง ทำให้อีกฝ่ายหนึ่งฟ้องหย่าได้ทันทีที่เกิดเหตุ ไม่จำเป็นต้องรอระยะเวลาใด ๆ แต่หากประสงค์จะฟ้องหย่า ควรดำเนินการจดทะเบียนหย่าตามมาตรา 1515 เพื่อให้การหย่าสมบูรณ์ตามกฎหมาย,ต้องใช้สิทธิภายในกำหนด 1 ปีนับแต่วันผู้คนอ้างรู้ หรือควรรู้ความจริงซึ่งตนอาจยกขึ้นอ้าง,กรณีนี้เป็นการใช้สิทธิฟ้องตามเหตุในมาตรา 1516(3) โดยต้องใช้สิทธิภายในกำหนด 1 ปีนับแต่วันผู้คนอ้างรู้ หรือควรรู้ความจริงซึ่งตนอาจยกขึ้นอ้าง คำอธิบายขยายความ : ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1529 สิทธิฟ้องร้องโดยอาศัยเหตุในมาตรา 1516 (1) (2) (3) หรือ (6) หรือมาตรา 1523 ย่อมระงับไปเมื่อพ้นกำหนด 1 ปีนับแต่วันผู้กล่าวอ้างรู้หรือควรรู้ความจริงซึ่งตนอาจยกขึ้นกล่าวอ้าง ทั้งนี้ หากยกเหตุขึ้นฟ้องหย่าไม่ได้แล้ว อาจจะนำสืบสนับสนุนคดีฟ้องหย่าซึ่งอาศัยเหตุอย่างอื่น,2321,138,2459,0.40532320000056643,2.5416946000041207,2.947017800004687,1,0,0.3333333333333333,0.0,0.0,0.0,0.8031144738197327
9,sparse_rag,ผู้ค้ำประกันตกลงรับผิดในฐานะลูกหนี้ร่วมได้หรือไม่,ผู้ค้ำประกันไม่สามารถตกลงรับผิดในฐานะลูกหนี้ร่วมได้ เว้นแต่เป็นนิติบุคคลที่ยินยอมเข้าผูกพันตนเพื่อรับผิดอย่างลูกหนี้ร่วม ตามมาตรา 681/1 แห่งประมวลกฎหมายแพ่งและพาณิชย์,ผู้ค้ำประกันไม่สามารถรับผิดอย่างลูกหนี้ร่วมได้ หากกำหนดในข้อตกลงไว้ ให้ตกเป็นโมฆะ เว้นแต่เป็นผู้ค้ำประกันที่เป็นนิติบุคคล,ผู้ค้ำประกันไม่สามารถรับผิดอย่างลูกหนี้ร่วมได้ หากกำหนดในข้อตกลงไว้ ให้ตกเป็นโมฆะ เว้นแต่เป็นผู้ค้ำประกันที่เป็นนิติบุคคล  ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 681/1 ข้อตกลงใดที่กำหนดให้ผู้ค้ำประกันต้องรับผิดอย่างเดียวกับลูกหนี้ร่วมหรือในฐานะเป็นลูกหนี้ร่วม ข้อตกลงนั้นเป็นโมฆะ ยกเว้นในกรณีผู้ค้ำประกันซึ่งเป็นนิติบุคคลและยินยอมเข้าผูกพันตนเพื่อรับผิดอย่างลูกหนี้ร่วมหรือในฐานะเป็นลูกหนี้ร่วม แต่ผู้ค้ำประกันซึ่งเป็นนิติบุคคลนั้นจะไม่มีสิทธิตามมาตรา 688 มาตรา 689 และมาตรา 690,1260,93,1353,0.23854360000404995,2.132972699997481,2.371516300001531,1,1,1.0,1.0,0.0,0.0,0.9118762016296387
