id,system,question,rag_answer,gt_reference_answer,gt_answer,prompt_tokens,completion_tokens,total_tokens,retrieve_time,llm_time,total_elapsed,hit_rate,multi_hit_rate,recall,mrr,rouge1_recall,rougeL_recall,bertscore_recall
381,graph,หลังจากชำระบัญชีของสมาคมการค้าแล้ว การแบ่งทรัพย์สินต้องทำเช่นไร,ตามมาตรา 40 แห่งพระราชบัญญัติสมาคมการค้า พ.ศ. 2509 และมาตรา 107 แห่งประมวลกฎหมายแพ่งและพาณิชย์ หลังจากชำระบัญชีแล้ว ทรัพย์สินที่เหลืออยู่จะต้องไม่แบ่งให้แก่สมาชิก แต่ต้องโอนให้แก่นิติบุคคลที่มีวัตถุประสงค์เกี่ยวกับการกุศลสาธารณะ ตามที่ระบุไว้ในข้อบังคับของสมาคม หรือตามมติของที่ประชุมใหญ่ หากไม่ได้ระบุไว้ หรือไม่สามารถปฏิบัติได้ ทรัพย์สินดังกล่าวจะตกเป็นของรัฐ,หลังชำระบัญชีของสมาคมการค้าแล้วห้ามแบ่งทรัพย์สินที่เหลืออยู่ให้แก่สมาชิกของสมาคมการค้า แต่ทรัพย์สินทั้งนั้นจะต้องโอนไปให้แก่นิติบุคคลอื่นที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะตามที่ระบุไว้ในข้อบังคับของสมาคมการค้า หรือถ้าไม่ได้ระบุไว้ก็ให้เป็นไปตามมติของที่ประชุมใหญ่ว่าจะโอนไปให้แก่นิติบุคคลใดที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะ นอกเหนือจากนี้ ให้ทรัพย์สินที่เหลือตกเป็นของรัฐ.,"หลังชำระบัญชีของสมาคมการค้าแล้วห้ามแบ่งทรัพย์สินที่เหลืออยู่ให้แก่สมาชิกของสมาคมการค้า แต่ ทรัพย์สินทั้งนั้นจะต้องโอนไปให้แก่นิติบุคคลอื่นที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะตามที่ระบุไว้ในข้อบังคับของสมาคมการค้า หรือถ้าไม่ได้ระบุไว้ก็ให้เป็นไปตามมติของที่ประชุมใหญ่ว่าจะโอนไปให้แก่นิติบุคคลใดที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะ 

นอกเหนือจากนี้ ให้ทรัพย์สินที่เหลือตกเป็นของรัฐ 

ขยายความ : พระราชบัญญัติสมาคมการค้า พ.ศ. 2509 มาตรา 40 เมื่อได้ชำระบัญชีแล้ว ถ้ามีทรัพย์สินเหลืออยู่เท่าใดจะแบ่งให้แก่สมาชิกของสมาคมการค้าไม่ได้ ทรัพย์สินทั้งนั้นจะต้องโอนไปให้แก่นิติบุคคลอื่นที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะตามที่ระบุไว้ในข้อบังคับของสมาคมการค้า หรือถ้าไม่ได้ระบุไว้ก็ให้เป็นไปตามมติของที่ประชุมใหญ่ว่าจะโอนไปให้แก่นิติบุคคลใดที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะ ในกรณีนอกจากที่กล่าวมาแล้ว ให้ทรัพย์สินที่เหลือนั้นตกเป็นของรัฐ",1566,206,1772,0.16145980008877814,4.239124299958348,4.400584100047126,1,1,1.0,1.0,0.0,0.0,0.9140801429748535
382,graph,การออกของกรรมการสมาคมการค้ามีเหตุใดบ้าง,"กรรมการสมาคมการค้าต้องออกจากตำแหน่งในกรณีดังต่อไปนี้ ตามพระราชบัญญัติสมาคมการค้า พ.ศ. 2509 มาตรา 19 และมาตรา 33:

1. เมื่อเป็นบุคคลล้มละลาย  
2. เมื่อต้องคำพิพากษาถึงที่สุดให้ลงโทษตามพระราชบัญญัตินี้  
3. เมื่อรัฐมนตรีสั่งให้ออกจากตำแหน่ง เนื่องจากสมาคมการค้ากระทำผิดมาตรา 22 อย่างร้ายแรง หรือกรรมการมีส่วนร่วมในการกระทำที่ทำให้สมาคมการค้าถูกสั่งเลิกตามมาตรา 36 (1), (2), หรือ (4)  

ทั้งนี้ กรรมการที่ถูกให้ออกจากตำแหน่งตามเหตุข้างต้น ไม่มีสิทธิเป็นกรรมการสมาคมการค้าอีก เว้นแต่จะผ่านไปแล้วไม่น้อยกว่าสามปีนับแต่วันที่ถูกรัฐมนตรีสั่งให้ออกหรือพ้นโทษ.",การออกจากกรรมการสมาคมการค้ามีเหตุ ดังนี้ 1 ตามข้อบังคับของสมาคมการค้า 2 เป็นบุคคลล้มละลาย  3 ต้องคำพิพากษาถึงที่สุดให้ลงโทษตามพระราชบัญญัตินี้ และไม่มีสิทธิเป็นกรรมการสมาคมการค้าใด ๆ อีก,การออกจากกรรมการสมาคมการค้ามีเหตุ ดังนี้ 1 ตามข้อบังคับของสมาคมการค้า 2 เป็นบุคคลล้มละลาย  3 ต้องคำพิพากษาถึงที่สุดให้ลงโทษตามพระราชบัญญัตินี้ และไม่มีสิทธิเป็นกรรมการสมาคมการค้าใด ๆ อีก   พระราชบัญญัติสมาคมการค้า พ.ศ. 2509 มาตรา 19 ข้อยกเว้น พ้นกำหนด 3 ปีนับแต่ได้พ้นจากการเป็นบุคคลล้มละลายหรือนับแต่วันพ้นโทษ,3349,293,3642,0.1463667000643909,6.382586899911985,6.528953599976376,1,1,1.0,1.0,1.0,1.0,0.9361051917076111
383,graph,สมาคมการค้ายอมให้บุคคลอื่นซึ่งไม่ใช่กรรมการดำเนินกิจการในหน้าที่ของกรรมการได้หรือไม่,สมาคมการค้าไม่สามารถให้บุคคลอื่นซึ่งไม่ใช่กรรมการดำเนินกิจการในหน้าที่ของกรรมการได้ เว้นแต่จะมีการมอบหมายให้กรรมการคนใดคนหนึ่งหรือหลายคนทำการแทนตามมาตรา 18 แห่งพระราชบัญญัติสมาคมการค้า พ.ศ. 2509,ไม่ได้,ไม่ได้ คำอธิบายขยายความเพิ่มเติมตามพระราชบัญญัติสมาคมการค้า พ.ศ. 2509 มาตรา 22 ห้ามไม่ให้สมาคมการค้ากระทำการใด ๆ ดังต่อไปนี้ (9) ให้ หรือยอมให้บุคคลอื่นซึ่งไม่ใช่กรรมการดำเนินกิจการในหน้าที่ของกรรมการ,1274,99,1373,0.154979299986735,2.1916790001560003,2.3466583001427352,0,0,0.0,0.0,0.0,0.0,0.9124983549118042
384,graph,กฎหมายเกี่ยวกับสมาคมการค้า เริ่มใช้บังคับตั้งแต่เมื่อไหร่,พระราชบัญญัติสมาคมการค้า พ.ศ. 2509 มาตรา 2 กำหนดว่า พระราชบัญญัตินี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศในราชกิจจานุเบกษาเป็นต้นไป,ใช้บังคับตั้งแต่วันถัดจากวันประกาศในราชกิจการนุเบกษา,ใช้บังคับตั้งแต่วันถัดจากวันประกาศในราชกิจการนุเบกษา ตามมาตรา 2 แห่งพระราชบัญญัติสมาคมการค้า พ.ศ. 2509 พระราชบัญญัตินี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศในราชกิจจานุเบกษาเป็นต้นไป,1291,75,1366,0.1648780000396073,1.6512817998882383,1.8161597999278456,1,1,1.0,1.0,0.0,0.0,0.9677844643592834
385,graph,การตั้งกรรมการหรือการเปลี่ยนตัวกรรมการของสมาคมการค้าต้องทำอย่างไร,การตั้งกรรมการหรือการเปลี่ยนตัวกรรมการของสมาคมการค้าต้องนำเรื่องไปจดทะเบียนต่อนายทะเบียนภายในกำหนด 30 วันนับแต่วันตั้งหรือเปลี่ยนตัวกรรมการ ตามมาตรา 30 แห่งพระราชบัญญัติสมาคมการค้า พ.ศ. 2509,สมาคมการค้าต้องทำ ดังนี้ 1 จดทะเบียนต่อนายทะเบียนภายในกำหนด 30 วันนับแต่วันตั้งหรือเปลี่ยนตัวกรรมการ,สมาคมการค้าต้องทำ ดังนี้ 1 จดทะเบียนต่อนายทะเบียนภายในกำหนด 30 วันนับแต่วันตั้งหรือเปลี่ยนตัวกรรมการ คำอธิบายขยายความ : พระราชบัญญัติสมาคมการค้า พ.ศ. 2509 มาตรา 30 กรณีกรรมการขาดคุณสมบัติ 1 เป็นผู้ซึ่งมีความประพฤติเสื่อมเสีย 2 มีเหตุอันควรสงสัยว่าอาจเป็นภัยต่อเศรษฐกิจ ความมั่นคงของประเทศ หรือต่อความสงบเรียบร้อยหรือศีลธรรมอันดีของประชาชน ผล คือ นายทะเบียนมีอำนาจไม่รับจดทะเบียนผู้นั้นเป็นกรรมการของสมาคมการค้า,1259,99,1358,0.15375429997220635,2.068267200142145,2.2220215001143515,1,1,1.0,1.0,0.5,0.5,0.8931987881660461
405,graph,การลงรายการในบัญชีผู้ทำบัญชีต้องทำอย่างไรบ้าง,ผู้ทำบัญชีต้องลงรายการในบัญชีเป็นภาษาไทย หากลงรายการเป็นภาษาต่างประเทศ ต้องมีภาษาไทยกำกับ หรือลงรายการเป็นรหัสบัญชีต้องมีคู่มือแปลรหัสเป็นภาษาไทยไว้ และต้องเขียนด้วยหมึก ดีดพิมพ์ ตีพิมพ์ หรือทำด้วยวิธีอื่นที่ได้ผลในทำนองเดียวกัน ตามมาตรา 21 แห่งพระราชบัญญัติการบัญชี พ.ศ. 2543,(1) ลงรายการเป็นภาษาไทย หากลงรายการเป็นภาษาต่างประเทศให้มีภาษาไทยกำกับ หรือลงรายการเป็นรหัสบัญชีให้มีคู่มือแปลรหัสที่เป็นภาษาไทยไว้ (2) เขียนด้วยหมึก ดีดพิมพ์ ตีพิมพ์ หรือทำด้วยวิธีอื่นใดที่ได้ผลในทำนองเดียวกัน,(1) ลงรายการเป็นภาษาไทย หากลงรายการเป็นภาษาต่างประเทศให้มีภาษาไทยกำกับ หรือลงรายการเป็นรหัสบัญชีให้มีคู่มือแปลรหัสที่เป็นภาษาไทยไว้ (2) เขียนด้วยหมึก ดีดพิมพ์ ตีพิมพ์ หรือทำด้วยวิธีอื่นใดที่ได้ผลในทำนองเดียวกัน,2429,155,2584,0.14980210014618933,2.9619302998762578,3.111732400022447,1,1,1.0,1.0,0.0,0.0,0.9210721254348755
421,graph,ตามพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว สำนักงานเลขานุการของคณะกรรมการมีอำนาจอย่างไรบ้าง,"ตามพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 มาตรา 29 สำนักงานเลขานุการของคณะกรรมการมีอำนาจหน้าที่ดังต่อไปนี้ คือ (1) ปฏิบัติงานตามมติของคณะกรรมการหรือตามที่คณะกรรมการมอบหมาย, (2) พิจารณาเสนอความเห็นต่อคณะกรรมการเกี่ยวกับการประกอบธุรกิจของคนต่างด้าวในราชอาณาจักร เพื่อประโยชน์ในการศึกษา รวบรวมข้อมูลและจัดทำรายงานเสนอต่อรัฐมนตรี, และ (3) ปฏิบัติงานธุรการทั่วไปของคณะกรรมการ.",มีอำนาจปฏิบัติงานตามมติของคณะกรรมการหรือตามที่คณะกรรมการมอบหมาย พิจารณาเสนอความเห็นต่อคณะกรรมการเกี่ยวกับการประกอบธุรกิจของคนต่างด้าวในราชอาณาจักร เพื่อประโยชน์ในการศึกษา รวบรวมข้อมูลและจัดทำรายงานเสนอต่อรัฐมนตรี เป็นต้น,มีอำนาจปฏิบัติงานตามมติของคณะกรรมการหรือตามที่คณะกรรมการมอบหมาย พิจารณาเสนอความเห็นต่อคณะกรรมการเกี่ยวกับการประกอบธุรกิจของคนต่างด้าวในราชอาณาจักร เพื่อประโยชน์ในการศึกษา รวบรวมข้อมูลและจัดทำรายงานเสนอต่อรัฐมนตรี เป็นต้น ตามพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 มาตรา 29 ให้กรมพัฒนาธุรกิจการค้า กระทรวงพาณิชย์ ทำหน้าที่เป็นสำนักงานเลขานุการของคณะกรรมการ โดยให้มีอำนาจหน้าที่ดังต่อไปนี้ (1) ปฏิบัติงานตามมติของคณะกรรมการหรือตามที่คณะกรรมการมอบหมาย (2) พิจารณาเสนอความเห็นต่อคณะกรรมการเกี่ยวกับการประกอบธุรกิจของคนต่างด้าวในราชอาณาจักร เพื่อประโยชน์ในการศึกษา รวบรวมข้อมูลและจัดทำรายงานเสนอต่อรัฐมนตรี (3) ปฏิบัติงานธุรการทั่วไปของคณะกรรมการ,2734,185,2919,0.14619389991275966,4.015642500016838,4.161836399929598,1,1,1.0,1.0,0.0,0.0,0.9521680474281311
422,graph,คนต่างด้าวที่ถูกเพิกถอนใบอนุญาตประกอบธุรกิจ หากยังคงมีการประกอบธุรกิจดังกล่าวต่อไป จะต้องได้รับโทษอย่างไร,คนต่างด้าวที่ถูกเพิกถอนใบอนุญาตประกอบธุรกิจแต่ยังคงประกอบธุรกิจนั้นต่อไป ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับตั้งแต่หนึ่งแสนบาทถึงหนึ่งล้านบาท หรือทั้งจำทั้งปรับ และปรับเพิ่มอีกวันละหนึ่นหมื่นบาทตลอดเวลาที่ยังฝ่าฝืนอยู่ ตามมาตรา 34 แห่งพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542,"จำคุกไม่เกิน 3 ปี หรือปรับตั้งแต่ 100,000 - 1,000,000 บาท หรือทั้งจำทั้งปรับ และปรับอีกวันละ 10,000 บาทตลอดเวลาที่ยังฝ่าฝืนอยู่","จำคุกไม่เกิน 3 ปี หรือปรับตั้งแต่ 100,000 - 1,000,000 บาท หรือทั้งจำทั้งปรับ และปรับอีกวันละ 10,000 บาทตลอดเวลาที่ยังฝ่าฝืนอยู่ ตามมาตรา 34 แห่งพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 คนต่างด้าวซึ่งได้รับใบอนุญาตหรือหนังสือรับรองผู้ใดถูกสั่งพักใช้หรือถูกเพิกถอนใบอนุญาตหรือถูกสั่งระงับการประกอบธุรกิจตามหนังสือรับรองและหมดสิทธิอุทธรณ์ หรือรัฐมนตรีมีคำวินิจฉัยเป็นที่สุดให้พักใช้หรือเพิกถอนใบอนุญาตหรือให้ระงับการประกอบธุรกิจแล้ว แต่คนต่างด้าวนั้นยังคงประกอบธุรกิจนั้นต่อไป ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับตั้งแต่หนึ่งแสนบาทถึงหนึ่งล้านบาท หรือทั้งจำทั้งปรับ และปรับอีกวันละหนึ่งหมื่นบาทตลอดเวลาที่ยังฝ่าฝืนอยู่",2813,171,2984,0.1551638999953866,4.076988099841401,4.232151999836788,1,1,1.0,1.0,0.0,0.0,0.923142671585083
423,graph,คนจีนที่ถูกเนรเทศออกจากไทยจะเข้ามาทำธุรกิจในไทยได้หรือไม่,คนจีนที่ถูกเนรเทศออกจากไทยห้ามประกอบธุรกิจในราชอาณาจักรตามมาตรา 6 (1) แห่งพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542,ไม่ได้ เนื่องจากห้ามต่างด้าวที่ถูกเนรเทศเข้ามาประกอบธุรกิจในราชอาณาจักร,ไม่ได้ เนื่องจากห้ามต่างด้าวที่ถูกเนรเทศเข้ามาประกอบธุรกิจในราชอาณาจักร  พระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 มาตรา 6  ห้ามคนต่างด้าวประกอบธุรกิจในราชอาณาจักร ในกรณีนี้ (1) คนต่างด้าวที่ถูกเนรเทศหรือรอการเนรเทศตามกฎหมาย (2) คนต่างด้าวที่เข้ามาอยู่ในราชอาณาจักรโดยไม่ได้รับอนุญาตตามกฎหมายว่าด้วยคนเข้าเมืองหรือกฎหมายอื่น,3732,71,3803,0.14997259993106127,2.153302500024438,2.303275099955499,1,1,1.0,1.0,0.0,0.0,0.8772677183151245
424,graph,สามารถขอคัดสำเนาเอกสารที่เกี่ยวกับการประกอบธุรกิจของคนต่างด้าวซึ่งนายทะเบียนเก็บรักษาไว้ได้หรือไม่อย่างไร,สามารถขอคัดสำเนาเอกสารที่เกี่ยวกับการประกอบธุรกิจของคนต่างด้าวซึ่งนายทะเบียนเก็บรักษาไว้ได้ ตามมาตรา 31 แห่งพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 ผู้ขอต้องยื่นคำขอและเสียค่าธรรมเนียมตามที่กำหนดในกฎกระทรวง เว้นแต่เอกสารนั้นมีลักษณะต้องห้ามมิให้เปิดเผยตามกฎหมายว่าด้วยข้อมูลข่าวสารของราชการหรือกฎหมายอื่น,ขอคัดสำเนาเอกสารได้ แต่เอกสารนั้นต้องไม่มีลักษณะต้องห้ามที่ไม่ให้เปิดเผยตามกฎหมายด้วย ทั้งนี้ผู้ขอคัดสำเนาเอกสารจะต้องเสียค่าธรรมเนียมในอัตราตามที่กำหนดในกฎกระทรวงด้วย,ขอคัดสำเนาเอกสารได้ แต่เอกสารนั้นต้องไม่มีลักษณะต้องห้ามที่ไม่ให้เปิดเผยตามกฎหมายด้วย ทั้งนี้ผู้ขอคัดสำเนาเอกสารจะต้องเสียค่าธรรมเนียมในอัตราตามที่กำหนดในกฎกระทรวงด้วย คำอธิบายขยายความ: ตามพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 มาตรา 31 บุคคลสามารถขอตรวจหรือขอคัดสำเนาเอกสาร หรือขอให้นายทะเบียนคัดสำเนาหรือถ่ายเอกสารพร้อมทั้งคำรับรอง หรือขอให้ออกหนังสือรับรองข้อความที่นายทะเบียนเก็บรักษาไว้ ให้นายทะเบียนดำเนินการอนุญาตโดยเร็ว เว้นแต่เอกสารนั้นมีลักษณะต้องห้ามไม่ให้เปิดเผยตามกฎหมาย โดยผู้ขอต้องเสียค่าธรรมเนียมตามที่กำหนดในกฎกระทรวงด้วย,1154,160,1314,0.15378479985520244,4.461299600079656,4.615084399934858,1,1,1.0,1.0,0.0,0.0,0.9246224164962769
