id,system,question,rag_answer,gt_reference_answer,gt_answer,prompt_tokens,completion_tokens,total_tokens,retrieve_time,llm_time,total_elapsed,hit_rate,multi_hit_rate,recall,mrr,rouge1_recall,rougeL_recall,bertscore_recall
381,hybrid_rag,หลังจากชำระบัญชีของสมาคมการค้าแล้ว การแบ่งทรัพย์สินต้องทำเช่นไร,หลังจากชำระบัญชีของสมาคมการค้าแล้ว ทรัพย์สินที่เหลือไม่สามารถแบ่งให้แก่สมาชิกได้ แต่ต้องโอนไปให้แก่นิติบุคคลอื่นที่มีวัตถุประสงค์เกี่ยวกับการกุศลสาธารณะ ตามที่ระบุไว้ในข้อบังคับของสมาคม หรือตามมติของที่ประชุมใหญ่ หากไม่มีการระบุไว้ หรือไม่สามารถปฏิบัติได้ ทรัพย์สินดังกล่าวจะตกเป็นของรัฐ ตามมาตรา 40 แห่งพระราชบัญญัติสมาคมการค้า พ.ศ. 2509 และมาตรา 107 แห่งประมวลกฎหมายแพ่งและพาณิชย์.,หลังชำระบัญชีของสมาคมการค้าแล้วห้ามแบ่งทรัพย์สินที่เหลืออยู่ให้แก่สมาชิกของสมาคมการค้า แต่ทรัพย์สินทั้งนั้นจะต้องโอนไปให้แก่นิติบุคคลอื่นที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะตามที่ระบุไว้ในข้อบังคับของสมาคมการค้า หรือถ้าไม่ได้ระบุไว้ก็ให้เป็นไปตามมติของที่ประชุมใหญ่ว่าจะโอนไปให้แก่นิติบุคคลใดที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะ นอกเหนือจากนี้ ให้ทรัพย์สินที่เหลือตกเป็นของรัฐ.,"หลังชำระบัญชีของสมาคมการค้าแล้วห้ามแบ่งทรัพย์สินที่เหลืออยู่ให้แก่สมาชิกของสมาคมการค้า แต่ ทรัพย์สินทั้งนั้นจะต้องโอนไปให้แก่นิติบุคคลอื่นที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะตามที่ระบุไว้ในข้อบังคับของสมาคมการค้า หรือถ้าไม่ได้ระบุไว้ก็ให้เป็นไปตามมติของที่ประชุมใหญ่ว่าจะโอนไปให้แก่นิติบุคคลใดที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะ 

นอกเหนือจากนี้ ให้ทรัพย์สินที่เหลือตกเป็นของรัฐ 

ขยายความ : พระราชบัญญัติสมาคมการค้า พ.ศ. 2509 มาตรา 40 เมื่อได้ชำระบัญชีแล้ว ถ้ามีทรัพย์สินเหลืออยู่เท่าใดจะแบ่งให้แก่สมาชิกของสมาคมการค้าไม่ได้ ทรัพย์สินทั้งนั้นจะต้องโอนไปให้แก่นิติบุคคลอื่นที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะตามที่ระบุไว้ในข้อบังคับของสมาคมการค้า หรือถ้าไม่ได้ระบุไว้ก็ให้เป็นไปตามมติของที่ประชุมใหญ่ว่าจะโอนไปให้แก่นิติบุคคลใดที่มีวัตถุที่ประสงค์เกี่ยวกับการกุศลสาธารณะ ในกรณีนอกจากที่กล่าวมาแล้ว ให้ทรัพย์สินที่เหลือนั้นตกเป็นของรัฐ",1207,214,1421,0.14244780002627522,3.2672711000195704,3.4097189000458457,1,1,1.0,1.0,0.0,0.0,0.929862380027771
382,hybrid_rag,การออกของกรรมการสมาคมการค้ามีเหตุใดบ้าง,กรรมการสมาคมการค้าออกจากการเป็นกรรมการได้เมื่อเป็นบุคคลล้มละลาย หรือเมื่อถูกตัดสินลงโทษตามพระราชบัญญัติสมาคมการค้า พ.ศ. 2509 และยังไม่พ้นกำหนดสามปีนับแต่วันพ้นโทษ หรือพ้นจากการเป็นบุคคลล้มละลาย ตามมาตรา 19 แห่งพระราชบัญญัติสมาคมการค้า พ.ศ. 2509,การออกจากกรรมการสมาคมการค้ามีเหตุ ดังนี้ 1 ตามข้อบังคับของสมาคมการค้า 2 เป็นบุคคลล้มละลาย  3 ต้องคำพิพากษาถึงที่สุดให้ลงโทษตามพระราชบัญญัตินี้ และไม่มีสิทธิเป็นกรรมการสมาคมการค้าใด ๆ อีก,การออกจากกรรมการสมาคมการค้ามีเหตุ ดังนี้ 1 ตามข้อบังคับของสมาคมการค้า 2 เป็นบุคคลล้มละลาย  3 ต้องคำพิพากษาถึงที่สุดให้ลงโทษตามพระราชบัญญัตินี้ และไม่มีสิทธิเป็นกรรมการสมาคมการค้าใด ๆ อีก   พระราชบัญญัติสมาคมการค้า พ.ศ. 2509 มาตรา 19 ข้อยกเว้น พ้นกำหนด 3 ปีนับแต่ได้พ้นจากการเป็นบุคคลล้มละลายหรือนับแต่วันพ้นโทษ,1056,128,1184,0.14206209999974817,2.4466670000110753,2.5887291000108235,1,1,1.0,1.0,0.0,0.0,0.9405578374862671
383,hybrid_rag,สมาคมการค้ายอมให้บุคคลอื่นซึ่งไม่ใช่กรรมการดำเนินกิจการในหน้าที่ของกรรมการได้หรือไม่,สมาคมการค้าไม่อาจยอมให้บุคคลอื่นซึ่งมิใช่กรรมการดำเนินกิจการในหน้าที่ของกรรมการได้ เนื่องจากตามมาตรา 36 แห่งพระราชบัญญัติสมาคมการค้า พ.ศ. 2509 ระบุว่า การให้หรือยอมให้บุคคลอื่นซึ่งมิใช่กรรมการดำเนินกิจการในหน้าที่ของกรรมการ เป็นเหตุให้รัฐมนตรีมีอำนาจสั่งให้เลิกสมาคมการค้าได้,ไม่ได้,ไม่ได้ คำอธิบายขยายความเพิ่มเติมตามพระราชบัญญัติสมาคมการค้า พ.ศ. 2509 มาตรา 22 ห้ามไม่ให้สมาคมการค้ากระทำการใด ๆ ดังต่อไปนี้ (9) ให้ หรือยอมให้บุคคลอื่นซึ่งไม่ใช่กรรมการดำเนินกิจการในหน้าที่ของกรรมการ,1208,152,1360,0.14858839998487383,9.072079400008079,9.220667799992952,0,0,0.0,0.0,0.0,0.0,0.9073110818862915
384,hybrid_rag,กฎหมายเกี่ยวกับสมาคมการค้า เริ่มใช้บังคับตั้งแต่เมื่อไหร่,พระราชบัญญัติสมาคมการค้า พ.ศ. 2509 มาตรา 2 กำหนดว่า พระราชบัญญัตินี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศในราชกิจจานุเบกษาเป็นต้นไป,ใช้บังคับตั้งแต่วันถัดจากวันประกาศในราชกิจการนุเบกษา,ใช้บังคับตั้งแต่วันถัดจากวันประกาศในราชกิจการนุเบกษา ตามมาตรา 2 แห่งพระราชบัญญัติสมาคมการค้า พ.ศ. 2509 พระราชบัญญัตินี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศในราชกิจจานุเบกษาเป็นต้นไป,976,75,1051,0.14742049999767914,1.4877889000345021,1.6352094000321813,1,1,1.0,1.0,0.0,0.0,0.9677844643592834
385,hybrid_rag,การตั้งกรรมการหรือการเปลี่ยนตัวกรรมการของสมาคมการค้าต้องทำอย่างไร,การตั้งกรรมการหรือการเปลี่ยนตัวกรรมการของสมาคมการค้าต้องนำเรื่องไปจดทะเบียนต่อนายทะเบียนภายในกำหนด 30 วันนับแต่วันตั้งหรือเปลี่ยนตัวกรรมการ ตามมาตรา 30 แห่งพระราชบัญญัติสมาคมการค้า พ.ศ. 2509,สมาคมการค้าต้องทำ ดังนี้ 1 จดทะเบียนต่อนายทะเบียนภายในกำหนด 30 วันนับแต่วันตั้งหรือเปลี่ยนตัวกรรมการ,สมาคมการค้าต้องทำ ดังนี้ 1 จดทะเบียนต่อนายทะเบียนภายในกำหนด 30 วันนับแต่วันตั้งหรือเปลี่ยนตัวกรรมการ คำอธิบายขยายความ : พระราชบัญญัติสมาคมการค้า พ.ศ. 2509 มาตรา 30 กรณีกรรมการขาดคุณสมบัติ 1 เป็นผู้ซึ่งมีความประพฤติเสื่อมเสีย 2 มีเหตุอันควรสงสัยว่าอาจเป็นภัยต่อเศรษฐกิจ ความมั่นคงของประเทศ หรือต่อความสงบเรียบร้อยหรือศีลธรรมอันดีของประชาชน ผล คือ นายทะเบียนมีอำนาจไม่รับจดทะเบียนผู้นั้นเป็นกรรมการของสมาคมการค้า,1002,99,1101,0.1340894000022672,1.9295251000439748,2.063614500046242,1,1,1.0,1.0,0.5,0.5,0.8931987881660461
405,hybrid_rag,การลงรายการในบัญชีผู้ทำบัญชีต้องทำอย่างไรบ้าง,ผู้ทำบัญชีต้องลงรายการในบัญชีเป็นภาษาไทย หากลงรายการเป็นภาษาต่างประเทศ ต้องมีภาษาไทยกำกับ หรือลงรายการเป็นรหัสบัญชีต้องมีคู่มือแปลรหัสเป็นภาษาไทยไว้ พร้อมเขียนด้วยหมึก ดีดพิมพ์ ตีพิมพ์ หรือทำด้วยวิธีอื่นที่ได้ผลในทำนองเดียวกัน ตามมาตรา 21 แห่งพระราชบัญญัติการบัญชี พ.ศ. 2543.,(1) ลงรายการเป็นภาษาไทย หากลงรายการเป็นภาษาต่างประเทศให้มีภาษาไทยกำกับ หรือลงรายการเป็นรหัสบัญชีให้มีคู่มือแปลรหัสที่เป็นภาษาไทยไว้ (2) เขียนด้วยหมึก ดีดพิมพ์ ตีพิมพ์ หรือทำด้วยวิธีอื่นใดที่ได้ผลในทำนองเดียวกัน,(1) ลงรายการเป็นภาษาไทย หากลงรายการเป็นภาษาต่างประเทศให้มีภาษาไทยกำกับ หรือลงรายการเป็นรหัสบัญชีให้มีคู่มือแปลรหัสที่เป็นภาษาไทยไว้ (2) เขียนด้วยหมึก ดีดพิมพ์ ตีพิมพ์ หรือทำด้วยวิธีอื่นใดที่ได้ผลในทำนองเดียวกัน,1148,156,1304,0.1562170999823138,2.947954499977641,3.1041715999599546,1,1,1.0,1.0,0.0,0.0,0.918372631072998
421,hybrid_rag,ตามพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว สำนักงานเลขานุการของคณะกรรมการมีอำนาจอย่างไรบ้าง,"ตามพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 มาตรา 29 สำนักงานเลขานุการของคณะกรรมการ ซึ่งทำหน้าที่โดยกรมพัฒนาธุรกิจการค้า มีอำนาจหน้าที่ดังนี้  
(1) ปฏิบัติงานตามมติของคณะกรรมการหรือตามที่คณะกรรมการมอบหมาย  
(2) พิจารณาเสนอความเห็นต่อคณะกรรมการเกี่ยวกับการประกอบธุรกิจของคนต่างด้าวในราชอาณาจักร เพื่อประโยชน์ในการศึกษา รวบรวมข้อมูลและจัดทำรายงานเสนอต่อรัฐมนตรี  
(3) ปฏิบัติงานธุรการทั่วไปของคณะกรรมการ",มีอำนาจปฏิบัติงานตามมติของคณะกรรมการหรือตามที่คณะกรรมการมอบหมาย พิจารณาเสนอความเห็นต่อคณะกรรมการเกี่ยวกับการประกอบธุรกิจของคนต่างด้าวในราชอาณาจักร เพื่อประโยชน์ในการศึกษา รวบรวมข้อมูลและจัดทำรายงานเสนอต่อรัฐมนตรี เป็นต้น,มีอำนาจปฏิบัติงานตามมติของคณะกรรมการหรือตามที่คณะกรรมการมอบหมาย พิจารณาเสนอความเห็นต่อคณะกรรมการเกี่ยวกับการประกอบธุรกิจของคนต่างด้าวในราชอาณาจักร เพื่อประโยชน์ในการศึกษา รวบรวมข้อมูลและจัดทำรายงานเสนอต่อรัฐมนตรี เป็นต้น ตามพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 มาตรา 29 ให้กรมพัฒนาธุรกิจการค้า กระทรวงพาณิชย์ ทำหน้าที่เป็นสำนักงานเลขานุการของคณะกรรมการ โดยให้มีอำนาจหน้าที่ดังต่อไปนี้ (1) ปฏิบัติงานตามมติของคณะกรรมการหรือตามที่คณะกรรมการมอบหมาย (2) พิจารณาเสนอความเห็นต่อคณะกรรมการเกี่ยวกับการประกอบธุรกิจของคนต่างด้าวในราชอาณาจักร เพื่อประโยชน์ในการศึกษา รวบรวมข้อมูลและจัดทำรายงานเสนอต่อรัฐมนตรี (3) ปฏิบัติงานธุรการทั่วไปของคณะกรรมการ,1237,202,1439,0.14350539998849854,3.6337554000201635,3.777260800008662,1,1,1.0,1.0,0.0,0.0,0.9712188243865967
422,hybrid_rag,คนต่างด้าวที่ถูกเพิกถอนใบอนุญาตประกอบธุรกิจ หากยังคงมีการประกอบธุรกิจดังกล่าวต่อไป จะต้องได้รับโทษอย่างไร,คนต่างด้าวที่ถูกเพิกถอนใบอนุญาตประกอบธุรกิจแต่ยังคงประกอบธุรกิจนั้นต่อไป ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับตั้งแต่หนึ่งแสนบาทถึงหนึ่งล้านบาท หรือทั้งจำทั้งปรับ และปรับเพิ่มอีกวันละหนึ่งหมื่นบาทตลอดเวลาที่ยังฝ่าฝืนอยู่ ตามมาตรา 34 แห่งพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542,"จำคุกไม่เกิน 3 ปี หรือปรับตั้งแต่ 100,000 - 1,000,000 บาท หรือทั้งจำทั้งปรับ และปรับอีกวันละ 10,000 บาทตลอดเวลาที่ยังฝ่าฝืนอยู่","จำคุกไม่เกิน 3 ปี หรือปรับตั้งแต่ 100,000 - 1,000,000 บาท หรือทั้งจำทั้งปรับ และปรับอีกวันละ 10,000 บาทตลอดเวลาที่ยังฝ่าฝืนอยู่ ตามมาตรา 34 แห่งพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 คนต่างด้าวซึ่งได้รับใบอนุญาตหรือหนังสือรับรองผู้ใดถูกสั่งพักใช้หรือถูกเพิกถอนใบอนุญาตหรือถูกสั่งระงับการประกอบธุรกิจตามหนังสือรับรองและหมดสิทธิอุทธรณ์ หรือรัฐมนตรีมีคำวินิจฉัยเป็นที่สุดให้พักใช้หรือเพิกถอนใบอนุญาตหรือให้ระงับการประกอบธุรกิจแล้ว แต่คนต่างด้าวนั้นยังคงประกอบธุรกิจนั้นต่อไป ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับตั้งแต่หนึ่งแสนบาทถึงหนึ่งล้านบาท หรือทั้งจำทั้งปรับ และปรับอีกวันละหนึ่งหมื่นบาทตลอดเวลาที่ยังฝ่าฝืนอยู่",1414,171,1585,0.14062990003731102,2.9682788999634795,3.1089088000007905,1,1,1.0,1.0,0.0,0.0,0.9226251244544983
423,hybrid_rag,คนจีนที่ถูกเนรเทศออกจากไทยจะเข้ามาทำธุรกิจในไทยได้หรือไม่,ไม่สามารถเข้ามาทำธุรกิจในประเทศไทยได้ เนื่องจากตามมาตรา 6 แห่งพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 คนต่างด้าวที่ถูกเนรเทศหรือรอการเนรเทศตามกฎหมาย ห้ามประกอบธุรกิจในราชอาณาจักร,ไม่ได้ เนื่องจากห้ามต่างด้าวที่ถูกเนรเทศเข้ามาประกอบธุรกิจในราชอาณาจักร,ไม่ได้ เนื่องจากห้ามต่างด้าวที่ถูกเนรเทศเข้ามาประกอบธุรกิจในราชอาณาจักร  พระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 มาตรา 6  ห้ามคนต่างด้าวประกอบธุรกิจในราชอาณาจักร ในกรณีนี้ (1) คนต่างด้าวที่ถูกเนรเทศหรือรอการเนรเทศตามกฎหมาย (2) คนต่างด้าวที่เข้ามาอยู่ในราชอาณาจักรโดยไม่ได้รับอนุญาตตามกฎหมายว่าด้วยคนเข้าเมืองหรือกฎหมายอื่น,1499,99,1598,0.142604399996344,1.4836106000002474,1.6262149999965914,1,1,1.0,1.0,0.0,0.0,0.9333189725875854
424,hybrid_rag,สามารถขอคัดสำเนาเอกสารที่เกี่ยวกับการประกอบธุรกิจของคนต่างด้าวซึ่งนายทะเบียนเก็บรักษาไว้ได้หรือไม่อย่างไร,สามารถขอคัดสำเนาเอกสารที่เกี่ยวกับการประกอบธุรกิจของคนต่างด้าวซึ่งนายทะเบียนเก็บรักษาไว้ได้ โดยต้องยื่นคำขอตามมาตรา 31 แห่งพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 และต้องเสียค่าธรรมเนียมตามที่กำหนดในกฎกระทรวง เว้นแต่เอกสารนั้นมีลักษณะต้องห้ามมิให้เปิดเผยตามกฎหมายว่าด้วยข้อมูลข่าวสารของราชการหรือกฎหมายอื่น,ขอคัดสำเนาเอกสารได้ แต่เอกสารนั้นต้องไม่มีลักษณะต้องห้ามที่ไม่ให้เปิดเผยตามกฎหมายด้วย ทั้งนี้ผู้ขอคัดสำเนาเอกสารจะต้องเสียค่าธรรมเนียมในอัตราตามที่กำหนดในกฎกระทรวงด้วย,ขอคัดสำเนาเอกสารได้ แต่เอกสารนั้นต้องไม่มีลักษณะต้องห้ามที่ไม่ให้เปิดเผยตามกฎหมายด้วย ทั้งนี้ผู้ขอคัดสำเนาเอกสารจะต้องเสียค่าธรรมเนียมในอัตราตามที่กำหนดในกฎกระทรวงด้วย คำอธิบายขยายความ: ตามพระราชบัญญัติการประกอบธุรกิจของคนต่างด้าว พ.ศ. 2542 มาตรา 31 บุคคลสามารถขอตรวจหรือขอคัดสำเนาเอกสาร หรือขอให้นายทะเบียนคัดสำเนาหรือถ่ายเอกสารพร้อมทั้งคำรับรอง หรือขอให้ออกหนังสือรับรองข้อความที่นายทะเบียนเก็บรักษาไว้ ให้นายทะเบียนดำเนินการอนุญาตโดยเร็ว เว้นแต่เอกสารนั้นมีลักษณะต้องห้ามไม่ให้เปิดเผยตามกฎหมาย โดยผู้ขอต้องเสียค่าธรรมเนียมตามที่กำหนดในกฎกระทรวงด้วย,975,158,1133,0.14129920001141727,2.9810788999893703,3.1223781000007875,1,1,1.0,1.0,0.0,0.0,0.9224510192871094
